date_key,year_day,year_week,year_month,year_quarter,day_of_month_no,is_week_day,day_name_full,day_name_short,month_name_full,month_name_short,month_no,week_no,quarter_no,year_no,century_no,first_day_of_week,first_day_of_month,first_day_of_quarter,first_day_of_year,last_day_of_week,last_day_of_month,last_day_of_quarter,last_day_of_year,last_working_day_of_month,last_working_day_of_quarter,last_working_day_of_year,most_recent_working_day,day_of_week_no,day_of_quarter_no,day_of_year_no,year_no_cumulative,quarter_no_cumulative,month_no_cumulative,week_no_cumulative,day_no_cumulative,lunar_uk_is_full_moon,lunar_uk_is_total_eclipse,lunar_uk_is_partial_eclipse,is_uk_holiday,uk_holiday_name,meta_process_time
2022-02-09,2022D40,2022W06,2022M02,2022Q1,9,1,Wednesday,Wed,February,Feb,2,6,1,2022,20,2022-02-07,2022-02-01,2022-01-01,2022-01-01,2022-02-13,2022-02-28,2022-03-31,2022-12-31,2022-02-28,2022-03-31,2022-12-30,2022-02-09,3,40,40,122,488,1465,6371,44599,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-02-10,2022D41,2022W06,2022M02,2022Q1,10,1,Thursday,Thu,February,Feb,2,6,1,2022,20,2022-02-07,2022-02-01,2022-01-01,2022-01-01,2022-02-13,2022-02-28,2022-03-31,2022-12-31,2022-02-28,2022-03-31,2022-12-30,2022-02-10,4,41,41,122,488,1465,6371,44600,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-02-11,2022D42,2022W06,2022M02,2022Q1,11,1,Friday,Fri,February,Feb,2,6,1,2022,20,2022-02-07,2022-02-01,2022-01-01,2022-01-01,2022-02-13,2022-02-28,2022-03-31,2022-12-31,2022-02-28,2022-03-31,2022-12-30,2022-02-11,5,42,42,122,488,1465,6371,44601,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-02-12,2022D43,2022W06,2022M02,2022Q1,12,0,Saturday,Sat,February,Feb,2,6,1,2022,20,2022-02-07,2022-02-01,2022-01-01,2022-01-01,2022-02-13,2022-02-28,2022-03-31,2022-12-31,2022-02-28,2022-03-31,2022-12-30,2022-02-11,6,43,43,122,488,1465,6371,44602,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-02-13,2022D44,2022W06,2022M02,2022Q1,13,0,Sunday,Sun,February,Feb,2,6,1,2022,20,2022-02-07,2022-02-01,2022-01-01,2022-01-01,2022-02-13,2022-02-28,2022-03-31,2022-12-31,2022-02-28,2022-03-31,2022-12-30,2022-02-11,7,44,44,122,488,1465,6371,44603,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-02-14,2022D45,2022W07,2022M02,2022Q1,14,1,Monday,Mon,February,Feb,2,7,1,2022,20,2022-02-14,2022-02-01,2022-01-01,2022-01-01,2022-02-20,2022-02-28,2022-03-31,2022-12-31,2022-02-28,2022-03-31,2022-12-30,2022-02-14,1,45,45,122,488,1465,6372,44604,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-02-15,2022D46,2022W07,2022M02,2022Q1,15,1,Tuesday,Tue,February,Feb,2,7,1,2022,20,2022-02-14,2022-02-01,2022-01-01,2022-01-01,2022-02-20,2022-02-28,2022-03-31,2022-12-31,2022-02-28,2022-03-31,2022-12-30,2022-02-15,2,46,46,122,488,1465,6372,44605,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-02-16,2022D47,2022W07,2022M02,2022Q1,16,1,Wednesday,Wed,February,Feb,2,7,1,2022,20,2022-02-14,2022-02-01,2022-01-01,2022-01-01,2022-02-20,2022-02-28,2022-03-31,2022-12-31,2022-02-28,2022-03-31,2022-12-30,2022-02-16,3,47,47,122,488,1465,6372,44606,1,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-02-17,2022D48,2022W07,2022M02,2022Q1,17,1,Thursday,Thu,February,Feb,2,7,1,2022,20,2022-02-14,2022-02-01,2022-01-01,2022-01-01,2022-02-20,2022-02-28,2022-03-31,2022-12-31,2022-02-28,2022-03-31,2022-12-30,2022-02-17,4,48,48,122,488,1465,6372,44607,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-02-18,2022D49,2022W07,2022M02,2022Q1,18,1,Friday,Fri,February,Feb,2,7,1,2022,20,2022-02-14,2022-02-01,2022-01-01,2022-01-01,2022-02-20,2022-02-28,2022-03-31,2022-12-31,2022-02-28,2022-03-31,2022-12-30,2022-02-18,5,49,49,122,488,1465,6372,44608,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-02-19,2022D50,2022W07,2022M02,2022Q1,19,0,Saturday,Sat,February,Feb,2,7,1,2022,20,2022-02-14,2022-02-01,2022-01-01,2022-01-01,2022-02-20,2022-02-28,2022-03-31,2022-12-31,2022-02-28,2022-03-31,2022-12-30,2022-02-18,6,50,50,122,488,1465,6372,44609,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-02-20,2022D51,2022W07,2022M02,2022Q1,20,0,Sunday,Sun,February,Feb,2,7,1,2022,20,2022-02-14,2022-02-01,2022-01-01,2022-01-01,2022-02-20,2022-02-28,2022-03-31,2022-12-31,2022-02-28,2022-03-31,2022-12-30,2022-02-18,7,51,51,122,488,1465,6372,44610,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-02-21,2022D52,2022W08,2022M02,2022Q1,21,1,Monday,Mon,February,Feb,2,8,1,2022,20,2022-02-21,2022-02-01,2022-01-01,2022-01-01,2022-02-27,2022-02-28,2022-03-31,2022-12-31,2022-02-28,2022-03-31,2022-12-30,2022-02-21,1,52,52,122,488,1465,6373,44611,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-02-22,2022D53,2022W08,2022M02,2022Q1,22,1,Tuesday,Tue,February,Feb,2,8,1,2022,20,2022-02-21,2022-02-01,2022-01-01,2022-01-01,2022-02-27,2022-02-28,2022-03-31,2022-12-31,2022-02-28,2022-03-31,2022-12-30,2022-02-22,2,53,53,122,488,1465,6373,44612,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-02-23,2022D54,2022W08,2022M02,2022Q1,23,1,Wednesday,Wed,February,Feb,2,8,1,2022,20,2022-02-21,2022-02-01,2022-01-01,2022-01-01,2022-02-27,2022-02-28,2022-03-31,2022-12-31,2022-02-28,2022-03-31,2022-12-30,2022-02-23,3,54,54,122,488,1465,6373,44613,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-02-24,2022D55,2022W08,2022M02,2022Q1,24,1,Thursday,Thu,February,Feb,2,8,1,2022,20,2022-02-21,2022-02-01,2022-01-01,2022-01-01,2022-02-27,2022-02-28,2022-03-31,2022-12-31,2022-02-28,2022-03-31,2022-12-30,2022-02-24,4,55,55,122,488,1465,6373,44614,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-02-25,2022D56,2022W08,2022M02,2022Q1,25,1,Friday,Fri,February,Feb,2,8,1,2022,20,2022-02-21,2022-02-01,2022-01-01,2022-01-01,2022-02-27,2022-02-28,2022-03-31,2022-12-31,2022-02-28,2022-03-31,2022-12-30,2022-02-25,5,56,56,122,488,1465,6373,44615,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-02-26,2022D57,2022W08,2022M02,2022Q1,26,0,Saturday,Sat,February,Feb,2,8,1,2022,20,2022-02-21,2022-02-01,2022-01-01,2022-01-01,2022-02-27,2022-02-28,2022-03-31,2022-12-31,2022-02-28,2022-03-31,2022-12-30,2022-02-25,6,57,57,122,488,1465,6373,44616,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-02-27,2022D58,2022W08,2022M02,2022Q1,27,0,Sunday,Sun,February,Feb,2,8,1,2022,20,2022-02-21,2022-02-01,2022-01-01,2022-01-01,2022-02-27,2022-02-28,2022-03-31,2022-12-31,2022-02-28,2022-03-31,2022-12-30,2022-02-25,7,58,58,122,488,1465,6373,44617,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-02-28,2022D59,2022W09,2022M02,2022Q1,28,1,Monday,Mon,February,Feb,2,9,1,2022,20,2022-02-28,2022-02-01,2022-01-01,2022-01-01,2022-03-06,2022-02-28,2022-03-31,2022-12-31,2022-02-28,2022-03-31,2022-12-30,2022-02-28,1,59,59,122,488,1465,6374,44618,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-01,2022D60,2022W09,2022M03,2022Q1,1,1,Tuesday,Tue,March,Mar,3,9,1,2022,20,2022-02-28,2022-03-01,2022-01-01,2022-01-01,2022-03-06,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-01,2,60,60,122,488,1466,6374,44619,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-02,2022D61,2022W09,2022M03,2022Q1,2,1,Wednesday,Wed,March,Mar,3,9,1,2022,20,2022-02-28,2022-03-01,2022-01-01,2022-01-01,2022-03-06,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-02,3,61,61,122,488,1466,6374,44620,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-03,2022D62,2022W09,2022M03,2022Q1,3,1,Thursday,Thu,March,Mar,3,9,1,2022,20,2022-02-28,2022-03-01,2022-01-01,2022-01-01,2022-03-06,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-03,4,62,62,122,488,1466,6374,44621,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-04,2022D63,2022W09,2022M03,2022Q1,4,1,Friday,Fri,March,Mar,3,9,1,2022,20,2022-02-28,2022-03-01,2022-01-01,2022-01-01,2022-03-06,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-04,5,63,63,122,488,1466,6374,44622,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-05,2022D64,2022W09,2022M03,2022Q1,5,0,Saturday,Sat,March,Mar,3,9,1,2022,20,2022-02-28,2022-03-01,2022-01-01,2022-01-01,2022-03-06,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-04,6,64,64,122,488,1466,6374,44623,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-06,2022D65,2022W09,2022M03,2022Q1,6,0,Sunday,Sun,March,Mar,3,9,1,2022,20,2022-02-28,2022-03-01,2022-01-01,2022-01-01,2022-03-06,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-04,7,65,65,122,488,1466,6374,44624,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-07,2022D66,2022W10,2022M03,2022Q1,7,1,Monday,Mon,March,Mar,3,10,1,2022,20,2022-03-07,2022-03-01,2022-01-01,2022-01-01,2022-03-13,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-07,1,66,66,122,488,1466,6375,44625,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-08,2022D67,2022W10,2022M03,2022Q1,8,1,Tuesday,Tue,March,Mar,3,10,1,2022,20,2022-03-07,2022-03-01,2022-01-01,2022-01-01,2022-03-13,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-08,2,67,67,122,488,1466,6375,44626,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-09,2022D68,2022W10,2022M03,2022Q1,9,1,Wednesday,Wed,March,Mar,3,10,1,2022,20,2022-03-07,2022-03-01,2022-01-01,2022-01-01,2022-03-13,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-09,3,68,68,122,488,1466,6375,44627,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-10,2022D69,2022W10,2022M03,2022Q1,10,1,Thursday,Thu,March,Mar,3,10,1,2022,20,2022-03-07,2022-03-01,2022-01-01,2022-01-01,2022-03-13,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-10,4,69,69,122,488,1466,6375,44628,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-11,2022D70,2022W10,2022M03,2022Q1,11,1,Friday,Fri,March,Mar,3,10,1,2022,20,2022-03-07,2022-03-01,2022-01-01,2022-01-01,2022-03-13,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-11,5,70,70,122,488,1466,6375,44629,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-12,2022D71,2022W10,2022M03,2022Q1,12,0,Saturday,Sat,March,Mar,3,10,1,2022,20,2022-03-07,2022-03-01,2022-01-01,2022-01-01,2022-03-13,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-11,6,71,71,122,488,1466,6375,44630,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-13,2022D72,2022W10,2022M03,2022Q1,13,0,Sunday,Sun,March,Mar,3,10,1,2022,20,2022-03-07,2022-03-01,2022-01-01,2022-01-01,2022-03-13,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-11,7,72,72,122,488,1466,6375,44631,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-14,2022D73,2022W11,2022M03,2022Q1,14,1,Monday,Mon,March,Mar,3,11,1,2022,20,2022-03-14,2022-03-01,2022-01-01,2022-01-01,2022-03-20,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-14,1,73,73,122,488,1466,6376,44632,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-15,2022D74,2022W11,2022M03,2022Q1,15,1,Tuesday,Tue,March,Mar,3,11,1,2022,20,2022-03-14,2022-03-01,2022-01-01,2022-01-01,2022-03-20,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-15,2,74,74,122,488,1466,6376,44633,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-16,2022D75,2022W11,2022M03,2022Q1,16,1,Wednesday,Wed,March,Mar,3,11,1,2022,20,2022-03-14,2022-03-01,2022-01-01,2022-01-01,2022-03-20,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-16,3,75,75,122,488,1466,6376,44634,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-17,2022D76,2022W11,2022M03,2022Q1,17,1,Thursday,Thu,March,Mar,3,11,1,2022,20,2022-03-14,2022-03-01,2022-01-01,2022-01-01,2022-03-20,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-17,4,76,76,122,488,1466,6376,44635,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-18,2022D77,2022W11,2022M03,2022Q1,18,1,Friday,Fri,March,Mar,3,11,1,2022,20,2022-03-14,2022-03-01,2022-01-01,2022-01-01,2022-03-20,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-18,5,77,77,122,488,1466,6376,44636,1,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-19,2022D78,2022W11,2022M03,2022Q1,19,0,Saturday,Sat,March,Mar,3,11,1,2022,20,2022-03-14,2022-03-01,2022-01-01,2022-01-01,2022-03-20,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-18,6,78,78,122,488,1466,6376,44637,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-20,2022D79,2022W11,2022M03,2022Q1,20,0,Sunday,Sun,March,Mar,3,11,1,2022,20,2022-03-14,2022-03-01,2022-01-01,2022-01-01,2022-03-20,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-18,7,79,79,122,488,1466,6376,44638,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-21,2022D80,2022W12,2022M03,2022Q1,21,1,Monday,Mon,March,Mar,3,12,1,2022,20,2022-03-21,2022-03-01,2022-01-01,2022-01-01,2022-03-27,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-21,1,80,80,122,488,1466,6377,44639,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-22,2022D81,2022W12,2022M03,2022Q1,22,1,Tuesday,Tue,March,Mar,3,12,1,2022,20,2022-03-21,2022-03-01,2022-01-01,2022-01-01,2022-03-27,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-22,2,81,81,122,488,1466,6377,44640,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-23,2022D82,2022W12,2022M03,2022Q1,23,1,Wednesday,Wed,March,Mar,3,12,1,2022,20,2022-03-21,2022-03-01,2022-01-01,2022-01-01,2022-03-27,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-23,3,82,82,122,488,1466,6377,44641,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-24,2022D83,2022W12,2022M03,2022Q1,24,1,Thursday,Thu,March,Mar,3,12,1,2022,20,2022-03-21,2022-03-01,2022-01-01,2022-01-01,2022-03-27,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-24,4,83,83,122,488,1466,6377,44642,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-25,2022D84,2022W12,2022M03,2022Q1,25,1,Friday,Fri,March,Mar,3,12,1,2022,20,2022-03-21,2022-03-01,2022-01-01,2022-01-01,2022-03-27,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-25,5,84,84,122,488,1466,6377,44643,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-26,2022D85,2022W12,2022M03,2022Q1,26,0,Saturday,Sat,March,Mar,3,12,1,2022,20,2022-03-21,2022-03-01,2022-01-01,2022-01-01,2022-03-27,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-25,6,85,85,122,488,1466,6377,44644,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-27,2022D86,2022W12,2022M03,2022Q1,27,0,Sunday,Sun,March,Mar,3,12,1,2022,20,2022-03-21,2022-03-01,2022-01-01,2022-01-01,2022-03-27,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-25,7,86,86,122,488,1466,6377,44645,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-28,2022D87,2022W13,2022M03,2022Q1,28,1,Monday,Mon,March,Mar,3,13,1,2022,20,2022-03-28,2022-03-01,2022-01-01,2022-01-01,2022-04-03,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-28,1,87,87,122,488,1466,6378,44646,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-29,2022D88,2022W13,2022M03,2022Q1,29,1,Tuesday,Tue,March,Mar,3,13,1,2022,20,2022-03-28,2022-03-01,2022-01-01,2022-01-01,2022-04-03,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-29,2,88,88,122,488,1466,6378,44647,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-30,2022D89,2022W13,2022M03,2022Q1,30,1,Wednesday,Wed,March,Mar,3,13,1,2022,20,2022-03-28,2022-03-01,2022-01-01,2022-01-01,2022-04-03,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-30,3,89,89,122,488,1466,6378,44648,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2022-03-31,2022D90,2022W13,2022M03,2022Q1,31,1,Thursday,Thu,March,Mar,3,13,1,2022,20,2022-03-28,2022-03-01,2022-01-01,2022-01-01,2022-04-03,2022-03-31,2022-03-31,2022-12-31,2022-03-31,2022-03-31,2022-12-30,2022-03-31,4,90,90,122,488,1466,6378,44649,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
